r_azon,szakmacsoport_kod,szakmacsoport_nev,is_terapia
010110121,01,Belgyógyászat,1
010110122,01,Belgyógyászat,1
010110123,01,Belgyógyászat,1
010110124,01,Belgyógyászat,1
010110125,01,Belgyógyászat,1
010120101,01,Belgyógyászat,1
010120103,01,Belgyógyászat,1
010120104,01,Belgyógyászat,1
010120105,01,Belgyógyászat,1
010120106,01,Belgyógyászat,1
010120107,01,Belgyógyászat,1
010120108,01,Belgyógyászat,1
010120109,01,Belgyógyászat,1
010120110,01,Belgyógyászat,1
010120111,01,Belgyógyászat,1
010120112,01,Belgyógyászat,1
010120113,01,Belgyógyászat,1
010120114,01,Belgyógyászat,1
010120115,01,Belgyógyászat,1
010120116,01,Belgyógyászat,1
010120117,01,Belgyógyászat,1
010120119,01,Belgyógyászat,1
010120120,01,Belgyógyászat,1
010120128,01,Belgyógyászat,1
010120129,01,Belgyógyászat,1
010120130,01,Belgyógyászat,1
010120131,01,Belgyógyászat,1
010120132,01,Belgyógyászat,1
010120134,01,Belgyógyászat,1
010120136,01,Belgyógyászat,1
010122701,01,Belgyógyászat,1
010122702,01,Belgyógyászat,1
010123005,01,Belgyógyászat,1
010123009,01,Belgyógyászat,1
010123010,01,Belgyógyászat,1
010123013,01,Belgyógyászat,1
010123015,01,Belgyógyászat,1
010123108,01,Belgyógyászat,1
010123121,01,Belgyógyászat,1
010123704,01,Belgyógyászat,1
010123731,01,Belgyógyászat,1
010125601,01,Belgyógyászat,1
010125603,01,Belgyógyászat,1
010125650,01,Belgyógyászat,1
0101T0100,01,Belgyógyászat,1
010210100,01,Belgyógyászat,1
010210101,01,Belgyógyászat,1
010212101,01,Belgyógyászat,1
010212102,01,Belgyógyászat,1
010220100,01,Belgyógyászat,1
010220101,01,Belgyógyászat,1
010220103,01,Belgyógyászat,1
010220111,01,Belgyógyászat,1
010220132,01,Belgyógyászat,1
010222909,01,Belgyógyászat,1
010223001,01,Belgyógyászat,1
010223005,01,Belgyógyászat,1
010223006,01,Belgyógyászat,1
010223102,01,Belgyógyászat,1
010223104,01,Belgyógyászat,1
010225607,01,Belgyógyászat,1
010230102,01,Belgyógyászat,1
010230104,01,Belgyógyászat,1
010230112,01,Belgyógyászat,1
010230114,01,Belgyógyászat,1
